,Gender,EthnicGroup,ParentEduc,LunchType,NumberofSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
73,M,group C,high school,standard,4,private,5 - 10,84,77,74
74,M,group B,bachelor's degree,free/reduced,1,school_bus,5 - 10,72,83,79
75,M,group D,bachelor's degree,standard,2,private,5 - 10,75,80,77
76,M,group D,some high school,standard,0,private,> 10,54,64,63
77,M,group C,some college,standard,3,school_bus,5 - 10,55,69,65
78,M,group C,bachelor's degree,standard,1,school_bus,5 - 10,76,90,86
79,M,group B,associate's degree,standard,3,school_bus,< 5,88,87,90
80,M,group E,some college,standard,3,school_bus,< 5,82,79,73
81,M,group B,high school,standard,2,school_bus,> 10,86,94,85
82,M,group D,some college,standard,3,school_bus,< 5,64,76,74
83,M,group D,master's degree,standard,2,private,< 5,77,81,72
84,M,group A,bachelor's degree,standard,0,school_bus,5 - 10,52,49,52
85,M,group D,master's degree,standard,1,school_bus,< 5,87,84,82
86,M,group C,some high school,free/reduced,1,private,< 5,52,36,40
87,M,group D,bachelor's degree,free/reduced,1,private,> 10,76,80,76
88,M,group B,some high school,standard,1,private,5 - 10,51,54,41
89,M,group E,high school,standard,0,school_bus,< 5,67,54,54
90,M,group C,associate's degree,standard,1,private,5 - 10,59,66,67
91,M,group D,some college,standard,0,private,> 10,73,61,70
92,M,group D,some high school,standard,1,school_bus,5 - 10,76,72,71
93,M,group C,some college,free/reduced,2,private,5 - 10,60,62,65
94,M,group E,some college,free/reduced,1,private,< 5,41,54,54
95,M,group A,high school,standard,1,school_bus,5 - 10,57,43,47
96,M,group D,some college,standard,3,private,> 10,90,74,79
97,M,group C,some college,free/reduced,1,school_bus,< 5,21,38,33
98,M,group D,bachelor's degree,standard,1,private,< 5,65,73,79
99,M,group E,associate's degree,free/reduced,3,private,5 - 10,100,100,95
100,M,group A,some high school,standard,2,private,5 - 10,62,67,69
101,M,group B,associate's degree,standard,2,school_bus,< 5,57,68,64
102,M,group C,some college,standard,3,school_bus,< 5,69,88,88
103,M,group E,high school,free/reduced,1,school_bus,5 - 10,67,75,79
104,M,group B,associate's degree,standard,2,private,5 - 10,62,87,89
105,M,group D,associate's degree,free/reduced,3,school_bus,> 10,70,63,66
106,M,group B,associate's degree,free/reduced,2,private,5 - 10,82,78,74
107,M,group E,some college,free/reduced,3,school_bus,5 - 10,75,88,85
108,M,group B,master's degree,free/reduced,2,school_bus,5 - 10,48,53,52
109,M,group C,high school,standard,1,school_bus,5 - 10,52,53,49
110,M,group E,master's degree,standard,3,private,< 5,76,89,86
111,M,group C,bachelor's degree,standard,0,school_bus,5 - 10,96,100,100
112,M,group C,high school,free/reduced,5,private,5 - 10,53,51,51
113,M,group B,master's degree,free/reduced,1,private,> 10,62,79,83
114,M,group B,high school,standard,2,private,5 - 10,70,84,79
115,M,group A,high school,standard,5,school_bus,> 10,76,75,77
116,M,group E,some high school,standard,3,school_bus,< 5,91,86,76
117,M,group D,some college,standard,3,school_bus,5 - 10,76,84,78
118,M,group C,associate's degree,standard,2,school_bus,5 - 10,63,67,70
119,M,group C,bachelor's degree,free/reduced,1,school_bus,< 5,41,50,52
120,M,group C,master's degree,standard,1,school_bus,5 - 10,81,92,89
121,M,group B,high school,free/reduced,2,school_bus,< 5,44,53,56
122,M,group B,master's degree,free/reduced,2,school_bus,5 - 10,54,72,65
123,M,group D,some high school,standard,0,school_bus,5 - 10,99,100,100
124,M,group C,master's degree,free/reduced,2,private,< 5,60,68,75
125,M,group C,some college,free/reduced,1,private,5 - 10,46,64,66
126,M,group C,associate's degree,free/reduced,5,private,< 5,61,65,62
127,M,group E,high school,standard,1,school_bus,< 5,75,73,62
128,M,group D,some high school,standard,4,private,5 - 10,62,66,68
129,M,group B,some high school,free/reduced,3,school_bus,< 5,47,51,45
130,M,group C,bachelor's degree,standard,1,school_bus,< 5,74,86,85
131,M,group E,associate's degree,standard,2,school_bus,5 - 10,66,65,69
132,M,group D,some college,standard,2,school_bus,< 5,73,81,77
133,M,group C,master's degree,standard,1,school_bus,< 5,69,85,87
134,M,group D,associate's degree,standard,4,school_bus,< 5,60,54,52
135,M,group E,high school,free/reduced,7,private,> 10,56,56,52
136,M,group B,bachelor's degree,free/reduced,3,private,5 - 10,80,80,77
137,M,group C,associate's degree,standard,1,private,< 5,66,83,86
138,M,group D,some college,free/reduced,3,school_bus,< 5,63,79,75
139,M,group C,associate's degree,standard,2,school_bus,5 - 10,69,77,69
140,M,group E,bachelor's degree,standard,4,school_bus,5 - 10,84,62,63
141,M,group E,high school,standard,2,school_bus,5 - 10,83,81,77
142,M,group B,some college,free/reduced,1,private,< 5,73,80,76
143,M,group D,some high school,free/reduced,3,school_bus,< 5,77,77,77
144,M,group C,some college,free/reduced,3,school_bus,5 - 10,35,28,27
145,M,group C,high school,free/reduced,2,school_bus,5 - 10,42,62,60
146,M,group C,associate's degree,free/reduced,1,school_bus,5 - 10,61,51,57
147,M,group E,high school,standard,1,private,5 - 10,87,91,81
148,M,group B,some high school,standard,2,private,5 - 10,86,84,76
149,M,group E,associate's degree,free/reduced,3,school_bus,< 5,80,84,86
150,M,group B,high school,free/reduced,2,school_bus,< 5,64,75,68
151,M,group D,high school,standard,4,school_bus,5 - 10,57,69,75
152,M,group B,associate's degree,standard,0,school_bus,> 10,89,86,74
153,M,group D,some high school,standard,3,school_bus,5 - 10,88,81,76
154,M,group B,associate's degree,standard,3,school_bus,> 10,55,67,76
155,M,group C,some college,standard,5,school_bus,5 - 10,72,72,71
156,M,group D,high school,standard,0,school_bus,5 - 10,58,50,55
157,M,group C,some college,standard,3,school_bus,> 10,93,97,98
158,M,group C,associate's degree,standard,1,private,5 - 10,47,43,43
159,M,group B,bachelor's degree,standard,2,school_bus,5 - 10,67,86,83
160,M,group E,some high school,standard,3,school_bus,> 10,94,88,79
161,M,group C,bachelor's degree,standard,3,school_bus,> 10,85,83,85
162,M,group D,associate's degree,standard,1,school_bus,> 10,84,77,80
163,M,group D,bachelor's degree,free/reduced,2,school_bus,< 5,62,65,67
164,M,group D,some high school,standard,4,school_bus,< 5,62,59,72
165,M,group B,some college,standard,2,private,> 10,57,53,53
166,M,group C,associate's degree,standard,1,private,5 - 10,84,80,80
167,M,group D,high school,free/reduced,1,private,> 10,75,69,67
168,M,group E,bachelor's degree,standard,4,private,5 - 10,82,84,85
169,M,group E,some college,standard,2,school_bus,< 5,58,50,43
170,M,group D,some high school,standard,1,school_bus,< 5,74,73,69
171,M,group C,associate's degree,standard,3,private,< 5,82,74,69
172,M,group E,associate's degree,standard,2,school_bus,5 - 10,91,77,75
173,M,group B,high school,standard,1,private,5 - 10,58,70,68
174,M,group B,high school,standard,2,private,< 5,63,63,60
175,M,group A,some high school,standard,2,school_bus,5 - 10,47,49,49
176,M,group D,some college,free/reduced,4,school_bus,< 5,70,82,83
177,M,group B,some high school,standard,3,private,5 - 10,60,70,70
178,M,group D,high school,standard,0,private,5 - 10,54,52,52
179,M,group E,some college,standard,1,school_bus,5 - 10,62,73,70
180,M,group C,associate's degree,free/reduced,5,private,< 5,62,71,66
181,M,group C,some high school,free/reduced,1,private,> 10,65,80,78
182,M,group C,some college,standard,2,school_bus,5 - 10,79,79,78
183,M,group C,some high school,free/reduced,2,private,5 - 10,45,50,52
184,M,group E,high school,standard,1,private,5 - 10,99,93,90
185,M,group D,high school,standard,2,private,5 - 10,76,73,68
186,M,group D,some high school,free/reduced,1,school_bus,< 5,57,41,40
187,M,group D,high school,standard,3,school_bus,5 - 10,71,73,78
188,M,group D,associate's degree,standard,5,school_bus,> 10,93,94,99
189,M,group C,bachelor's degree,standard,2,school_bus,5 - 10,69,63,61
190,M,group D,associate's degree,free/reduced,2,private,5 - 10,48,53,59
191,M,group D,some college,standard,2,private,5 - 10,65,70,71
192,M,group B,some college,standard,1,school_bus,< 5,85,83,74
193,M,group C,bachelor's degree,standard,3,school_bus,5 - 10,83,78,73
194,M,group C,some high school,standard,3,private,< 5,82,90,91
195,M,group C,some high school,free/reduced,1,school_bus,5 - 10,65,86,80
196,M,group B,bachelor's degree,free/reduced,2,school_bus,5 - 10,73,56,57
197,M,group D,bachelor's degree,free/reduced,3,school_bus,5 - 10,75,80,86
198,M,group D,some college,free/reduced,2,school_bus,5 - 10,67,76,76
199,M,group B,associate's degree,standard,3,school_bus,5 - 10,78,80,79
200,M,group E,associate's degree,standard,0,private,5 - 10,99,83,90
201,M,group B,some high school,standard,1,school_bus,< 5,64,87,80
202,M,group C,associate's degree,standard,2,school_bus,5 - 10,76,70,68
203,M,group D,some high school,standard,2,private,< 5,83,71,68
204,M,group C,some high school,standard,1,private,5 - 10,61,59,55
205,M,group D,high school,free/reduced,3,school_bus,5 - 10,80,78,82
206,M,group B,associate's degree,free/reduced,1,school_bus,> 10,66,61,59
207,M,group A,some college,free/reduced,2,private,< 5,76,75,77
208,M,group D,some high school,free/reduced,4,school_bus,< 5,55,53,52
209,M,group C,associate's degree,standard,5,school_bus,> 10,66,83,80
210,M,group B,associate's degree,standard,1,school_bus,5 - 10,82,77,65
211,M,group C,associate's degree,standard,2,school_bus,5 - 10,76,76,85
212,M,group A,some college,standard,7,private,5 - 10,69,67,69
213,M,group E,some college,standard,5,private,5 - 10,100,88,83
214,M,group B,associate's degree,free/reduced,3,private,> 10,56,73,70
215,M,group B,associate's degree,standard,2,school_bus,5 - 10,73,76,80
216,M,group B,bachelor's degree,standard,3,school_bus,< 5,62,58,54
217,M,group C,associate's degree,free/reduced,2,private,> 10,70,68,70
218,M,group C,high school,standard,3,private,5 - 10,73,66,66
219,M,group D,master's degree,standard,3,private,5 - 10,74,80,88
220,M,group C,associate's degree,standard,1,school_bus,5 - 10,83,72,78
221,M,group D,associate's degree,free/reduced,1,school_bus,< 5,55,64,63
222,M,group E,high school,standard,3,private,> 10,74,85,78
223,M,group C,some college,standard,2,private,< 5,70,80,80
224,M,group C,some high school,free/reduced,5,private,5 - 10,40,52,51
225,M,group C,some college,standard,3,school_bus,5 - 10,82,90,94
226,M,group C,some college,standard,1,school_bus,5 - 10,61,61,62
227,M,group A,some college,free/reduced,2,school_bus,> 10,29,23,19
228,M,group C,associate's degree,standard,5,school_bus,5 - 10,82,75,77
229,M,group B,some high school,standard,2,school_bus,< 5,39,54,49
230,M,group C,associate's degree,standard,3,private,< 5,45,36,34
231,M,group E,associate's degree,standard,3,school_bus,> 10,61,55,52
232,M,group B,associate's degree,standard,1,school_bus,5 - 10,90,78,81
233,M,group B,some high school,free/reduced,3,school_bus,< 5,23,37,26
234,M,group D,some high school,free/reduced,3,school_bus,5 - 10,35,55,60
235,M,group C,high school,free/reduced,1,school_bus,> 10,61,62,54
236,M,group D,associate's degree,standard,3,private,< 5,64,70,65
237,M,group D,some college,standard,2,school_bus,< 5,78,72,67
238,M,group C,high school,standard,4,private,5 - 10,72,80,75
239,M,group E,associate's degree,standard,2,private,> 10,92,76,79
240,M,group B,bachelor's degree,standard,0,private,5 - 10,52,65,69
241,M,group E,some college,standard,4,school_bus,> 10,67,57,53
242,M,group C,some college,standard,1,school_bus,< 5,61,76,78
243,M,group C,associate's degree,standard,1,private,< 5,45,57,57
244,M,group B,bachelor's degree,standard,3,school_bus,> 10,64,74,73
245,M,group C,some college,free/reduced,1,private,< 5,40,65,67
246,M,group D,some college,standard,1,private,< 5,77,88,87
247,M,group B,high school,standard,1,school_bus,5 - 10,56,61,57
248,M,group B,some high school,standard,3,private,5 - 10,87,85,79
249,M,group C,some college,standard,2,private,5 - 10,53,58,59
250,M,group D,some high school,free/reduced,3,school_bus,< 5,26,33,31
251,M,group C,some college,standard,1,school_bus,5 - 10,60,60,59
252,M,group A,bachelor's degree,free/reduced,2,private,> 10,51,59,62
253,M,group C,bachelor's degree,free/reduced,3,private,> 10,64,67,63
254,M,group A,some high school,free/reduced,2,private,5 - 10,44,64,58
255,M,group D,some high school,standard,5,school_bus,5 - 10,71,83,84
256,M,group E,some college,standard,3,private,5 - 10,86,78,72
257,M,group C,some college,free/reduced,4,school_bus,5 - 10,45,73,70
258,M,group D,some high school,standard,0,private,> 10,76,75,73
259,M,group D,some college,standard,1,private,> 10,84,98,97
260,M,group D,some high school,standard,2,school_bus,> 10,82,91,83
261,M,group A,some high school,standard,1,private,> 10,73,84,78
262,M,group A,bachelor's degree,standard,1,private,5 - 10,67,64,63
263,M,group B,associate's degree,standard,1,school_bus,5 - 10,80,86,83
264,M,group C,associate's degree,standard,0,private,< 5,84,98,93
265,M,group E,some high school,free/reduced,3,private,> 10,40,50,47
266,M,group A,some high school,free/reduced,5,private,5 - 10,35,41,40
267,M,group E,some college,standard,2,private,5 - 10,69,77,76
268,M,group E,bachelor's degree,standard,0,school_bus,< 5,62,71,68
269,M,group D,high school,standard,3,private,5 - 10,62,64,64
270,M,group D,master's degree,standard,1,school_bus,< 5,71,70,75
271,M,group E,some high school,free/reduced,0,private,5 - 10,75,68,60
272,M,group D,some college,standard,3,private,< 5,74,66,75
273,M,group E,some college,standard,3,school_bus,> 10,78,68,68
274,M,group C,associate's degree,standard,4,private,> 10,60,55,58
275,M,group B,high school,free/reduced,5,school_bus,5 - 10,48,65,61
276,M,group B,some high school,standard,0,school_bus,< 5,73,62,57
277,M,group D,some high school,standard,4,private,< 5,56,57,51
278,M,group C,some high school,standard,3,private,5 - 10,60,54,68
279,M,group A,some college,free/reduced,2,school_bus,> 10,51,66,57
280,M,group D,high school,standard,4,private,5 - 10,88,99,100
281,M,group C,high school,standard,0,school_bus,5 - 10,55,59,63
282,M,group B,associate's degree,standard,3,school_bus,> 10,68,66,65
283,M,group B,associate's degree,standard,3,school_bus,5 - 10,84,81,78
284,M,group D,high school,free/reduced,2,school_bus,5 - 10,52,57,56
285,M,group D,associate's degree,standard,5,school_bus,> 10,86,83,84
286,M,group D,master's degree,standard,2,private,5 - 10,72,73,78
287,M,group E,high school,standard,3,private,5 - 10,86,74,70
288,M,group C,bachelor's degree,standard,3,private,< 5,68,72,66
289,M,group D,some college,standard,4,private,5 - 10,70,59,63
290,M,group E,high school,free/reduced,3,private,5 - 10,57,56,54
291,M,group D,master's degree,free/reduced,0,private,> 10,47,59,68
292,M,group C,bachelor's degree,standard,2,school_bus,5 - 10,88,84,88
293,M,group C,some high school,free/reduced,0,private,5 - 10,71,72,66
294,M,group C,some high school,free/reduced,3,school_bus,> 10,70,63,55
295,M,group C,high school,standard,4,school_bus,< 5,57,54,52
296,M,group D,associate's degree,standard,3,school_bus,5 - 10,77,69,65
297,M,group C,high school,standard,0,school_bus,< 5,69,55,51
298,M,group D,some high school,standard,0,school_bus,5 - 10,89,88,82
299,M,group A,some high school,free/reduced,2,school_bus,5 - 10,59,73,69
300,M,group A,some high school,free/reduced,0,school_bus,5 - 10,79,82,73
301,M,group D,some college,free/reduced,1,school_bus,> 10,73,67,62
302,M,group C,high school,standard,2,school_bus,> 10,91,83,83
303,M,group B,high school,standard,4,school_bus,5 - 10,48,46,43
304,M,group C,some college,free/reduced,3,private,5 - 10,64,85,85
305,M,group E,some college,standard,5,school_bus,5 - 10,100,92,97
306,M,group C,associate's degree,free/reduced,1,school_bus,> 10,68,79,77
307,M,group C,some college,free/reduced,3,private,> 10,64,57,48
308,M,group C,associate's degree,free/reduced,3,private,5 - 10,54,61,63
309,M,group C,bachelor's degree,free/reduced,0,school_bus,5 - 10,37,56,47
310,M,group D,bachelor's degree,standard,3,school_bus,5 - 10,79,89,89
311,M,group C,bachelor's degree,free/reduced,1,private,< 5,52,57,55
312,M,group B,some college,free/reduced,1,school_bus,5 - 10,54,54,45
313,M,group E,some college,standard,1,private,5 - 10,68,68,74
314,M,group C,some college,free/reduced,4,school_bus,5 - 10,77,90,91
315,M,group D,associate's degree,free/reduced,1,school_bus,> 10,26,31,38
316,M,group A,high school,free/reduced,7,school_bus,> 10,76,69,67
317,M,group A,high school,free/reduced,3,private,5 - 10,79,89,87
318,M,group C,associate's degree,standard,1,private,5 - 10,83,85,90
319,M,group C,high school,standard,0,private,< 5,62,68,74
320,M,group C,associate's degree,standard,4,school_bus,5 - 10,68,86,84
321,M,group D,some high school,standard,5,private,> 10,57,66,60
322,M,group B,associate's degree,standard,2,private,5 - 10,90,90,91
323,M,group E,bachelor's degree,standard,2,school_bus,5 - 10,76,62,66
324,M,group D,master's degree,standard,1,private,5 - 10,53,64,70
325,M,group E,associate's degree,standard,4,school_bus,> 10,78,72,68
326,M,group B,high school,standard,1,private,5 - 10,73,71,68
327,M,group D,associate's degree,free/reduced,3,school_bus,5 - 10,52,59,56
328,M,group A,high school,standard,2,private,5 - 10,59,52,46
329,M,group B,associate's degree,standard,3,school_bus,< 5,48,51,54
330,M,group D,some college,free/reduced,3,private,5 - 10,61,47,56
331,M,group C,associate's degree,free/reduced,4,school_bus,5 - 10,60,75,74
332,M,group B,some high school,standard,1,school_bus,5 - 10,65,53,58
333,M,group A,associate's degree,free/reduced,5,school_bus,5 - 10,76,80,79
334,M,group A,associate's degree,free/reduced,1,school_bus,< 5,64,84,76
335,M,group C,some college,standard,1,school_bus,5 - 10,83,83,90
336,M,group C,bachelor's degree,standard,6,school_bus,< 5,78,86,88
337,M,group B,high school,standard,2,school_bus,< 5,53,63,68
338,M,group D,high school,standard,4,private,5 - 10,68,64,66
339,M,group C,some college,standard,3,school_bus,< 5,53,47,52
340,M,group D,some college,free/reduced,1,school_bus,5 - 10,59,78,76
341,M,group E,some college,standard,3,school_bus,< 5,73,69,70
342,M,group D,master's degree,standard,2,school_bus,5 - 10,74,80,84
343,M,group B,associate's degree,standard,0,private,< 5,91,85,90
344,M,group E,associate's degree,standard,3,school_bus,> 10,100,91,96
345,M,group D,master's degree,free/reduced,1,private,5 - 10,41,61,57
346,M,group B,some high school,standard,3,school_bus,< 5,79,80,78
347,M,group A,high school,standard,1,school_bus,5 - 10,70,71,67
348,M,group C,bachelor's degree,standard,1,private,5 - 10,88,93,89
349,M,group D,some high school,free/reduced,2,school_bus,< 5,61,48,52
350,M,group B,some high school,standard,3,private,5 - 10,55,61,63
351,M,group B,master's degree,free/reduced,3,school_bus,5 - 10,77,97,94
352,M,group C,some high school,standard,1,private,5 - 10,76,87,85
353,M,group E,some college,standard,1,school_bus,5 - 10,64,72,71
354,M,group D,some high school,standard,1,school_bus,5 - 10,67,79,79
355,M,group B,high school,free/reduced,5,school_bus,5 - 10,67,78,79
356,M,group C,associate's degree,standard,4,private,5 - 10,91,86,84
357,M,group C,some high school,free/reduced,4,school_bus,< 5,54,60,58
358,M,group D,bachelor's degree,free/reduced,2,private,< 5,28,40,46
359,M,group C,associate's degree,standard,1,private,5 - 10,60,72,68
360,M,group C,associate's degree,standard,1,private,5 - 10,68,67,73
361,M,group C,some high school,standard,2,private,5 - 10,45,53,51
362,M,group E,associate's degree,standard,2,school_bus,< 5,60,60,56
363,M,group E,associate's degree,standard,4,school_bus,5 - 10,79,88,94
364,M,group B,high school,standard,1,school_bus,> 10,75,70,69
365,M,group C,bachelor's degree,free/reduced,5,private,5 - 10,66,83,83
366,M,group D,high school,standard,1,school_bus,5 - 10,49,65,60
367,M,group A,associate's degree,standard,3,school_bus,> 10,99,93,87
368,M,group C,high school,standard,1,private,5 - 10,75,69,68
369,M,group D,associate's degree,standard,2,private,> 10,86,97,93
370,M,group E,some high school,free/reduced,1,school_bus,5 - 10,80,84,82
371,M,group A,some high school,standard,3,school_bus,5 - 10,92,100,97
372,M,group C,high school,standard,2,private,< 5,71,66,64
373,M,group C,high school,free/reduced,5,school_bus,< 5,61,66,64
374,M,group C,master's degree,standard,1,school_bus,< 5,77,72,69
375,M,group B,bachelor's degree,free/reduced,2,private,5 - 10,89,91,90
376,M,group D,some college,free/reduced,2,private,5 - 10,79,62,65
377,M,group E,associate's degree,standard,1,private,> 10,56,46,41
378,M,group C,master's degree,free/reduced,1,school_bus,5 - 10,63,69,69
379,M,group B,associate's degree,free/reduced,2,school_bus,< 5,51,68,68
380,M,group D,some high school,standard,2,school_bus,> 10,75,66,63
381,M,group C,some college,standard,3,school_bus,> 10,66,76,77
382,M,group C,bachelor's degree,standard,2,school_bus,< 5,95,89,92
383,M,group B,bachelor's degree,free/reduced,1,school_bus,< 5,46,50,45
384,M,group B,associate's degree,standard,2,school_bus,< 5,46,42,44
385,M,group E,bachelor's degree,free/reduced,4,private,5 - 10,89,98,97
386,M,group B,high school,free/reduced,6,private,< 5,62,47,47
387,M,group A,bachelor's degree,standard,1,school_bus,5 - 10,88,94,89
388,M,group C,some college,standard,5,private,> 10,54,62,57
389,M,group C,high school,free/reduced,1,school_bus,5 - 10,50,66,64
390,M,group A,associate's degree,free/reduced,7,school_bus,5 - 10,40,55,53
391,M,group A,some college,standard,0,school_bus,5 - 10,61,51,52
392,M,group B,high school,standard,1,school_bus,< 5,78,89,87
393,M,group B,some college,free/reduced,1,school_bus,> 10,49,56,59
394,M,group D,master's degree,standard,3,school_bus,< 5,52,60,68
395,M,group D,some high school,standard,2,school_bus,< 5,78,95,94
396,M,group E,some high school,standard,3,school_bus,5 - 10,74,77,78
397,M,group D,bachelor's degree,free/reduced,1,school_bus,5 - 10,63,73,78
398,M,group A,high school,standard,3,school_bus,5 - 10,55,73,73
399,M,group C,bachelor's degree,free/reduced,1,school_bus,< 5,43,62,62
400,M,group C,some college,standard,1,school_bus,< 5,53,63,65
401,M,group C,some college,free/reduced,3,private,< 5,56,56,52
402,M,group C,bachelor's degree,standard,2,private,5 - 10,94,100,100
403,M,group C,bachelor's degree,standard,1,school_bus,> 10,57,80,73
404,M,group B,high school,free/reduced,2,school_bus,5 - 10,30,24,15
405,M,group D,high school,standard,4,school_bus,> 10,71,78,74
406,M,group D,some high school,standard,1,school_bus,5 - 10,65,82,81
407,M,group C,high school,standard,1,school_bus,5 - 10,29,29,30
408,M,group E,some college,standard,2,school_bus,5 - 10,76,78,80
409,M,group D,high school,free/reduced,1,school_bus,5 - 10,60,57,51
410,M,group C,some high school,standard,3,private,< 5,72,70,60
411,M,group C,master's degree,free/reduced,1,private,5 - 10,40,59,55
412,M,group B,associate's degree,standard,1,school_bus,< 5,57,62,65
413,M,group D,some college,free/reduced,5,school_bus,5 - 10,69,60,63
414,M,group C,some college,standard,3,school_bus,< 5,56,58,64
415,M,group C,bachelor's degree,standard,0,private,< 5,91,88,89
416,M,group A,associate's degree,standard,4,school_bus,5 - 10,82,93,93
417,M,group C,high school,standard,1,school_bus,5 - 10,60,68,72
418,M,group E,bachelor's degree,standard,4,school_bus,5 - 10,37,45,38
419,M,group D,master's degree,standard,1,school_bus,5 - 10,95,82,86
420,M,group C,high school,free/reduced,2,school_bus,> 10,36,61,55
421,M,group C,high school,free/reduced,2,private,> 10,59,51,53
422,M,group A,some college,standard,4,private,5 - 10,97,94,83
423,M,group B,associate's degree,free/reduced,1,school_bus,5 - 10,66,68,61
424,M,group D,some college,free/reduced,2,school_bus,5 - 10,50,57,47
